90 Release D. 0 | is with | Software Revis ion D. 00
You | can see | tabular trends
You | document | them
You | can view with up | measurement trend graphs
patient | in | physiological condition
you | identify | changes in patient 's condition
you | changes in | patient 's physiological condition
changes | is in | patient 's physiological condition
you | identify | changes
You | can view | measurement trend graphs
You | can view with | measurement trend graphs
you | changes in | patient 's condition
you | identify | changes in patient 's physiological condition
You | can view measurement trends with | beat
You | can view | measurement trends
beat | beat | resolution
You | can view | fast-changing measurement trends
Event surveillance | enhances | documentation of significant events
Event surveillance | detecting | defined clinical events
Event surveillance | automatically detecting | defined events
Event surveillance | automatically detecting | clinical events over 24 hour period
Event surveillance | automatically detecting | defined events over 24 hour period
Event surveillance | detecting | events over 24 hour period
Event surveillance | enhances | documentation of events
Event surveillance | automatically detecting | events over 24 hour period
Event surveillance | detecting | defined events over 24 hour period
Event surveillance | automatically detecting | events
Event surveillance | automatically detecting | defined clinical events over 24 hour period
Event surveillance | detecting | events
Event surveillance | detecting | defined clinical events over 24 hour period
Event surveillance | enhances | documentation of physiologically significant events
Event surveillance | enhances | documentation
Event surveillance | automatically detecting | defined clinical events
Event surveillance | detecting | clinical events over 24 hour period
Event surveillance | automatically detecting | clinical events
Event surveillance | detecting | defined events
Event surveillance | detecting | clinical events
models | can also use | computer devices
models | can use | computer devices
IntelliVue MP20/MP30 IntelliVue MP20/MP30 patient monitor | has | TFT LCD flat panel SVGA display
IntelliVue MP20/MP30 IntelliVue MP20/MP30 patient monitor | has | TFT LCD panel SVGA display
IntelliVue MP20/MP30 IntelliVue MP20/MP30 patient monitor | has | 10-inch TFT LCD panel SVGA display
IntelliVue MP20/MP30 IntelliVue MP20/MP30 patient monitor | has | 10-inch TFT LCD flat panel SVGA display
MP20/MP30 Screens | USA to | up four waves
MP20/MP30 | can | can connected to one Multi
MP20/MP30 | can | can connected
monitoring | is | possible
monitoring | is possible With | BIS
monitoring | is possible With | optional Interface board Bispectral Index
monitoring | is possible With | Interface board Bispectral Index
IntelliVue Family 1 Basic OperationMP20/MP30 Major Parts | left | Keys MP20/MP30
IntelliVue Family 1 OperationMP20/MP30 Major Parts | left | Keys MP20/MP30
IntelliVue Family 1 Basic OperationMP20/MP30 Parts | left | Keys MP20/MP30
IntelliVue Family 1 OperationMP20/MP30 Parts | left | Keys MP20/MP30
MP40/MP50 | can | can connected
MP40/MP50 | can | can connected to one Multi
IntelliVue family plug-in measurement modules | be | can connected to its four integrated module slots
IntelliVue family measurement modules | be | can connected to its four module slots
IntelliVue family measurement modules | be | can connected to its four plug-in module slots
IntelliVue family measurement modules | be | can connected to its four integrated module slots
IntelliVue family measurement modules | be | can connected
IntelliVue family plug-in measurement modules | be | can connected
IntelliVue family measurement modules | be | can connected to its four integrated plug-in module slots
IntelliVue family plug-in measurement modules | be | can connected to its four module slots
IntelliVue family plug-in measurement modules | be | can connected to its four integrated plug-in module slots
IntelliVue family plug-in measurement modules | be | can connected to its four plug-in module slots
its four integrated plug-in module slots | is with | plug-and-play convenience
MP40/MP50 Major Parts | left | Keys MP40/MP50
MP40/MP50 Parts | left | side 1 alarm lamps 2 Alarms
MP40/MP50 Parts | left | Keys MP40/MP50
MP40/MP50 Parts | left | side 1 alarm lamps 2 Alarms off
MP40/MP50 Major Parts | left | side 1 alarm lamps 2 Alarms off
MP40/MP50 Major Parts | left | side 1 alarm lamps 2 Alarms
MP60 | uses SpeedPoint as | its primary input device
MP60 | uses | SpeedPoint
MP70 | have | SpeedPoint
MP70 | have | optional SpeedPoint
MP70 | uses | touch screen operation
MP60 | uses SpeedPoint as | its input device
monitors | can | can connected to Multi-Measurement Server
monitors | can | can connected
measurement modules | can | can connected to its FMS module slots with convenience
mily plug-in measurement modules | can | can connected to its FMS module slots
plug-in measurement modules | can | can connected
mily plug-in measurement modules | can | can connected
mily plug-in measurement modules | can | can connected to its FMS module slots with plug-and-play convenience
mily measurement modules | can | can connected to its FMS module slots with plug-and-play convenience
its FMS module slots | is with | plug-and-play convenience
mily plug-in measurement modules | can | can connected to its FMS module slots with convenience
plug-in measurement modules | can | can connected to its FMS module slots with plug-and-play convenience
measurement modules | can | can connected to its FMS module slots
mily measurement modules | can | can connected
measurement modules | can | can connected
plug-in measurement modules | can | can connected to its FMS module slots
mily measurement modules | can | can connected to its FMS module slots with convenience
mily measurement modules | can | can connected to its FMS module slots
measurement modules | can | can connected to its FMS module slots with plug-and-play convenience
plug-in measurement modules | can | can connected to its FMS module slots with convenience
MP60/MP70 | has | two slots
MP60/MP70 | has | two integrated slots for modules
MP60/MP70 | has | two integrated slots
MP60/MP70 | has | two slots for plug-in modules
MP60/MP70 | has | two slots for modules
MP60/MP70 | has | two integrated slots for plug-in modules
You | can combine | one each following modules in slots
You | can combine | one each of following modules in slots
You | can use | two-slot recorder module
You | can also use | two-slot recorder module
You | can also use | recorder module
You | can use recorder module in | integrated slots
You | can also use recorder module in | slots
You | can use | recorder module
You | can use recorder module in | slots
You | can also use recorder module in | integrated slots
On/Standby switch | read | documentation
1 On/Standby switch | read | documentation
problem | is with | monitor Battery LED Green
monitor | is connected to | AC power
monitor | is | connected
IntelliVue MP80/MP90 patient monitors | have display as | separate components
IntelliVue MP80/MP90 patient monitors | have display as | components
IntelliVue MP80/MP90 patient monitors | have | display
They | offer | touchscreen
They | offer touchscreen as | standard input devices
They | offer touchscreen as | input devices
monitors | can | can connected to Multi-Measurement Server
monitors | can | can connected
IntelliVue family measurement modules | can | can connected to its FMS module slots
IntelliVue family plug-in measurement modules | can | can connected to its FMS module slots
IntelliVue family plug-in measurement modules | can | can connected
IntelliVue family measurement modules | can | can connected
MP90 | be | can connected
MP90 | be | can connected to two Flexible Module Servers
MP90 | have | third display
MP90 | have | third display with D80 Intelligent Display
MP90 | have | display with D80 Intelligent Display
third main display | is with | D80 Intelligent Display
MP90 | have | main display
MP90 | have | main display with D80 Intelligent Display
MP90 | have | third main display
MP90 | has | capability for two displays
MP90 | have | third main display with D80 Intelligent Display
MP90 | have | display
MP90 | has | capability
third main display | is with | MP90 monitor
You | have | three displays
You | have | three displays able
Alarm Device | provides | audio indicators of alarms
Remote Alarm Device | provides | audio indicators
Alarm Device | provides | audio indicators
Remote Alarm Device | provides | audio indicators of alarms
Press | switch monitor on | remotely
Press | switch | monitor
Press | turn | hold for one second
Press | turn | hold for second
you | can make | connection to power
you | can make | connection
monitor | closing | lever
you | must hold monitor in | place
you | must hold | monitor
you | closing | lever
docking station | is in | tilted position
station | is | tilted
docking station | is in | position
you | closing | locking lever
Products products | extend | measurement capabilities of your monitor
Related Products Related products | extend | measurement capabilities
Products Related products | extend | measurement capabilities of your monitor
Related Products products | extend | measurement capabilities of your monitor
Products Related products | extend | measurement capabilities
Related Products products | extend | measurement capabilities
Products products | extend | measurement capabilities
Related Products Related products | extend | measurement capabilities of your monitor
None | have | their own power switches
None | have | their power on/standby switches
None | have | their own power on/standby switches
None | have | their power switches
They | take | their power
They | switch on | automatically
you | turn on | monitor
they | are drawing power from | monitor
they | are drawing | power
problem | is with | unit
red LED | indicates | problem
LED | indicates | problem
you | can connect | only one FMS
MP90 you | can connect | two FMSs
Products | modules in | integrated module slots
integrated module slots | is in | MP60/MP70
Power | Locked | Position Data Connector8 Related Products up to four in integrated slots
integrated slots | is in | MP40/MP50
Power | Locked | Position Data Connector8 Related Products up to four in integrated slots in MP40/MP50
Power | Locked | Position Data Connector8 Related Products
Power | Locked | Position Data Connector8 Related Products up
Power | Locked | Position Data Connector8 Related Products up to four in slots
two additional modules | is in | integrated module slots
Power | Locked | Position Data Connector8 Related Products up to four in slots in MP40/MP50
arterial blood | of Temperature is | M1029A
modules | are | • blood pressure
cardiac output | with | M1012A Option
Available modules | are | • Invasive blood pressure
modules | are | • Invasive blood pressure
Continuous output | with | M1012A Option
Continuous cardiac output | with | M1012A Option
output | with | M1012A Option
Available modules | are | • blood pressure
module | remembers | only its label
module | remembers | its label
you | connect | it
connector socket | is | color
connector socket | is same color as | connector plug
connector socket | is | same color
connector socket | is color as | corresponding connector plug on transducer
connector socket | is color as | corresponding connector plug
connector socket | is same color as | corresponding connector plug
connector socket | is color as | connector plug on transducer
connector socket | is color as | connector plug
connector socket | is same color as | connector plug on transducer
connector socket | is same color as | corresponding connector plug on transducer
Press Setup key | display measurement 's setup menu on | monitor screen
module | on | front
Press Setup key | display | measurement 's setup menu
measurement | has | setup menu
setup menu | is | When open
setup menu | is | open
light | appears above | key
modules | have | key
modules | have | second key
it | initiates | procedure
it | initiates | zeroing procedure
it | initiates procedure On | pressure module
it | initiates procedure for | example
1 Multi-Measurement Server 2 Measurement server | mount | 3 Module Server 4 Power
Multi-Measurement Server 2 Measurement server | mount | 3 Module Server 4 Power
1 Multi-Measurement Server 2 Measurement server | mount | 3 Flexible Module Server 4 Power
Multi-Measurement Server 2 Measurement server | mount | 3 Flexible Module Server 4 Power
you | can connect | it
Trend data | are | stored
Trend data | are stored in | measurement server
measurements | is in | extensions
Trend data | stored | measurement settings
M3001A Connectors | connect | pressure transducer
M3001A Connectors | connect | invasive pressure transducer
You | might have | version
measurements | are | lost
measurement server | is | removed
measurement server | is removed during | monitoring
M3014A Capnography Extension | adds | mainstream capnography
optional M3015A Microstream CO2 Extension | adds | microstream capnography
M3015A Microstream CO2 Extension | adds | microstream capnography
optional M3016A Mainstream CO2 Extension | adds | mainstream capnography
M3016A Mainstream CO2 Extension | adds | mainstream capnography
Screen elements | include | measurement numerics
you | access element in | different w
you | access element in | w
you | access | element
you | often access | same element
you | often access | element
you | often access element in | different w
you | access | same element
you | often access element in | w
you | access item through | its setup menu
you | might | might able
you | might | For example might able
you | might | For example might able via key
you | might | For example might able via hard key
you | might | might able via key
you | access | item
you | access item through | its on-screen setup menu
you | might | might able via hard key
1 ABP Zero | done at | 11 Nov 02 7:31
Pause duration | depends on | monitor configuration
pause duration | is | infinite
Patient Demographics window | select | HR numeric
elements | are | grouped together
elements | are grouped together for | ease of navigation
elements | are grouped for | ease
elements | are | grouped
elements | are grouped together for | ease
elements | are grouped for | ease of navigation
you | press | navigation point
monitor | on | screen
padlock | will appear on | Main Screen permanent key
padlock | will appear on | Main Screen key
My | Date | Time15 1 Basic Operation Operating
highlight | jumps to | neighboring screen element
highlight | jumps to | screen element
cursor | moves across | screen
cursor | moves following | direction of knob
cursor | moves following | direction
you | can operate monitor from | location
you | Using | remote SpeedPoint
you | can operate from | distant location
you | can operate from | location
you | can operate | monitor
you | can operate monitor from | distant location
you | Using | SpeedPoint
SpeedPoint | can | can used with monitors
remote SpeedPoint | can | can used with monitors
Silence | acknowledges | active alarms
1 Silence | acknowledges | active alarms
Behavior | follows | Silence
Behavior | follows | Pause Alarms permanent configuration
Behavior | follows | Pause Alarms permanent key configuration
Behavior | follows | Pause Alarms configuration
Behavior | follows | Pause Alarms key configuration
highlight | jumps to | neighboring screen element
highlight | jumps to | screen element
element | is | highlighted
you | are using | mouse
you | are moving | mouse
highlight | shows | your position
highlight | shows | your current position
Permanent Keys permanent key | is graphical key | that remains time
Keys key | is key | that remains on screen time
Permanent Keys key | is key | that remains on screen time
Permanent Keys permanent key | is key | that remains time
Permanent Keys key | is graphical key | that remains on screen time
Keys permanent key | is graphical key | that remains time
Permanent Keys key | is key | that remains time
Keys permanent key | is key | that remains time
key | is | graphical
Keys permanent key | is graphical key | that remains on screen time
Permanent Keys permanent key | is graphical key | that remains on screen time
Keys key | is key | that remains time
Keys key | is graphical key | that remains time
Permanent Keys permanent key | is key | that remains on screen time
Permanent Keys key | is graphical key | that remains time
Keys key | is graphical key | that remains on screen time
Keys permanent key | is key | that remains on screen time
Silence | acknowledges | active alarms
1 Silence | acknowledges | active alarms
Exact behavior | depends on | key configuration
Exact behavior | depends on | permanent key configuration
behavior | depends on | key configuration
behavior | depends on | configuration
Exact behavior | depends on | permanent configuration
behavior | depends on | permanent key configuration
Exact behavior | depends on | configuration
behavior | depends on | permanent configuration
Exact behavior | depends on | Pause Alarms configuration
behavior | depends on | Pause Alarms key configuration
Exact behavior | depends on | Pause Alarms key configuration
behavior | depends on | Pause Alarms permanent key configuration
Exact behavior | depends on | Pause Alarms permanent key configuration
behavior | depends on | Pause Alarms permanent configuration
Exact behavior | depends on | Pause Alarms permanent configuration
behavior | depends on | Pause Alarms configuration
Pause duration | depends on | monitor configuration
pause duration | is | infinite
Silence | acknowledges | active alarms
selection | available on | your monitor
mode | suspends | patient monitoring
standby mode | suspends | patient monitoring
profile menu | revert | default
patients | is in | other beds
screen show BIS Sensor previous Screen freeze waves | admit | patient
screen show BIS Sensor Screen freeze waves | admit | patient
waves | disappear | numerics
settings | retained | patient data information
NBP measurement | inflate cuff to | subdiastolic pressure
access | is | physical key
access | is physical key on | monitoring device
access | is | physical
NBP measurement | inflate | measurement series
NBP measurement | inflate | cuff
ECG wave | of amplitude is | size
access | is key on | monitoring device
NBP measurement | inflate cuff to | pressure
access | is | key
Pop-Up Keys Pop-up keys | are task-related graphical keys | that appear automatically
Pop-Up Keys Pop-up keys | are graphical keys | that appear
Pop-Up Keys Pop-up keys | are graphical keys | that appear automatically on monitor screen
Pop-Up Keys Pop-up keys | are task-related graphical keys | that appear automatically on monitor screen
Pop-Up Keys Pop-up keys | are task-related keys | that appear automatically
Pop-Up Keys Pop-up keys | are task-related keys | that appear on monitor screen
Pop-Up Keys Pop-up keys | are graphical keys | that appear on monitor screen
Pop-Up Keys Pop-up keys | are task-related keys | that appear automatically on monitor screen
Pop-Up Keys Pop-up keys | are graphical keys | that appear automatically
Pop-Up Keys Pop-up keys | are keys | that appear automatically on monitor screen
Pop-Up Keys Pop-up keys | are keys | that appear
Pop-Up Keys Pop-up keys | are keys | that appear automatically
Pop-Up Keys Pop-up keys | are task-related graphical keys | that appear
Pop-Up Keys Pop-up keys | are keys | that appear on monitor screen
Pop-Up Keys Pop-up keys | are task-related keys | that appear
Pop-Up Keys Pop-up keys | are task-related graphical keys | that appear on monitor screen
you | confirm | change
key | use | Clr key
Back key | use | Clr key
you | close | on-screen keyboard
you | close | keyboard
Select | Enter | confirm
conventional keyboard | is | connected
keyboard | is | connected
you | can use | this
you | can use | this or in combination with keyboard
keyboard | is connected to | monitor
combination | is with | on-screen keyboard
conventional keyboard | is connected to | monitor
this | or in | combination
you | can use | this or in combination
you | can use | this or in combination with on-screen keyboard
you | can use | this or
this | or in | combination with keyboard
this | or in | combination with on-screen keyboard
You | use | calculator
you | would normally use | handheld calculator
You | use | on-screen calculator
you | would use | calculator
you | would normally use | calculator
You | perform | any
you | would use | handheld calculator
♦ | access | calculator
♦ | access | on-screen calculator
♦ | select | Calculator SmartKey
you | switch | monitor
Your monitor | has | four operating modes
Some | are | passcode
Some | are | passcode protected
you | use | that
You | can change | elements
you | discharge | patient
Changes | can | can stored
Changes | can | can stored only in Configuration Mode
Changes | can | can stored permanently
Changes | can | can stored permanently only in Configuration Mode
Changes | can | can stored in Configuration Mode
Changes | can | can stored permanently in Configuration Mode
you | change | them
These | be | changed
These | are for | your information
These | be changed in | Configuration Mode
These | be changed in | only Configuration Mode
this | is for | demonstration purposes
this | is for | demonstration purposes only
monitor | from | memory
stored trend information | is deleted from | monitor 's memory
stored trend information | is | deleted
monitor | is | During installation configured for use
monitor | is configured During | installation
monitor | is configured for | use
monitor | is | configured
use | is in | your environment
monitor | is configured for | use in your environment
monitor | is | During installation configured for use in your environment
this | is for | service personnel
this | is for | trained service personnel
this | is indicated by | box with mode name
this | is | indicated
this | is indicated by | box
monitor | is in | When Demonstration Mode
box | is with | mode name in center of Screen
this | is indicated by | box with mode name in center of Screen
this | is indicated by | box with mode name in center
monitor | is in | Demonstration Mode
mode name | is in | center of Screen
you | temporarily interrupt | monitoring
you | interrupt | monitoring
Standby Mode Standby mode | can | can used
monitor | enters | Standby mode
End Case function | discharge | patient
End Case function | is | used
monitor | enters automatically | Standby mode
Standby | suspends | patient monitoring
patient data information | are | retained
waves | disappear | numerics
special Standby screen | is | displayed
Standby screen | is | displayed
this | will | will also displayed
this | will | will displayed
patient location | is | entered
this | will | will also displayed on Standby screen
this | will | will displayed on Standby screen
patient location | is entered at | Information Center
♦ | resume | monitoring
♦ | Select | anything
Screen | defines | overall selection
Screen | defines | size of waves
overall selection | size on | monitor screen
overall selection | size of | waves
Screen | defines | size
Screen | defines | size on monitor screen
Screen | defines | size of waves on monitor screen
Screen | defines | selection
You | can easily switch between | different Screens
You | can switch between | different Screens
You | can switch during | monitoring
You | can easily switch between | Screens
You | can switch between | Screens
You | can easily switch during | monitoring
Screens | do affect | alarm settings
Screens | do NOT affect | alarm settings
measurements | are | still monitored
measurements | are still monitored in | background
measurements | are monitored in | background
measurements | are | monitored
you | switch to | less complex Screen layout
you | switch to | Screen layout
you | switch to | complex Screen layout
you | switch from | complex
two pressures | are | left
pressures | are | either left
two pressures | are | either left
blank | is | filled
pressures | are | left
current Screen name | is in | monitor info line
you | can substitute | individual waves
you | can substitute | waves
Screen | has | Content
you | change | entire Screen content
you | want from | list of available waves
you | want from | list of waves
you | want from | list
wave | will change | numeric
wave | will automatically change | numeric
Screen | linked to | original Screen
changed Screen | is shown with | asterisk
changed Screen | linked to | Screen
Screen | is shown with | asterisk Using
Screen | is | shown
Screen | is | shown
Screen | is shown with | asterisk in monitor info line .22
Screen | is shown with | asterisk in monitor info line .22 Using
changed Screen | is shown with | asterisk Using
Screen | linked to | Screen
asterisk | is in | monitor info line .22
changed Screen | is shown with | asterisk in monitor info line .22
changed Screen | linked to | original Screen
Screen | is shown with | asterisk
changed Screen | is shown with | asterisk in monitor info line .22 Using
changed Screen | is | shown
changed Screen | is | shown
arrows | name of | Screen
name | is in | Change Screen menu
name | use arrows at | top of Change Screen menu
name | use arrows at | top
previous/next arrows | name of | Screen
previous/next arrows | name in | Change Screen menu
name | use | arrows
name | use | previous/next arrows
arrows | name in | Change Screen menu
monitor | has | default Screen
monitor 's default Screen | is shown After | patient discharge
monitor 's default Screen | is | shown
Modified Screens | are still available in | Change Screen menu
Screens | are still available in | Change Screen menu
Screens | are available in | Change Screen menu
Modified Screens | are | available
Screens | are | still available
Modified Screens | are | still available
Modified Screens | are available in | Change Screen menu
Screens | are | available
modified Screens | are | erased
Screens | are | on again erased
Screens | are | then on again erased
Screens | are erased from | monitor 's memory
modified Screens | are | on again erased
modified Screens | then again are erased from | monitor 's memory
monitor | from | memory
Screens | then again are erased from | monitor 's memory
Screens | are | erased
modified Screens | again are erased from | monitor 's memory
modified Screens | are | then on again erased
modified Screens | are erased from | monitor 's memory
Screens | again are erased from | monitor 's memory
modified Screen | was | active Screen
Screen | was | last active Screen
it | is | retained
Screen | was | last Screen
modified Screen | was | last active Screen
modified Screen | was | last Screen
Screen | was | Screen
modified Screen | was | Screen
Screen | was | active Screen
Default | is configured to | Yes
Default | is | configured
D80 Intelligent Display | additionally connected as | main display
D80 Intelligent Display | connected as | third main display
MP90 | can have | two main displays
D80 Intelligent Display | additionally connected as | third main display
D80 Intelligent Display | additionally connected as | third display
D80 Intelligent Display | connected as | display
MP90 | can have | two displays
D80 Intelligent Display | connected as | third display
D80 Intelligent Display | connected as | main display
D80 Intelligent Display | additionally connected as | display
main displays | can | can configured
usage | can | For MP90 monitors with multiple displays can configured
usage | can | can configured
MP90 monitors | is with | multiple displays
usage | can | For MP90 monitors can configured
usage | can | For MP90 monitors with displays can configured
example | use for | two independent operators
details | refer to | Service Guide
two operators | are using | two displays
results | be seen on | displays
operators | are using | two displays
• | Display | operations
1 | turn | one
you | are operating | two displays
highlighting | will move to | display
highlighting | will move to | other display
highlighting | will automatically move to | other display
highlighting | will automatically move to | display
Select | Display | 1
you | can choose | Screens for displays from one location
2 Select | Display | 1
two displays | are | When mounted
displays | are | When mounted
displays | are | mounted
special Screen | can | can assigned
two displays | are | mounted
Screen | can | can assigned
Screen content | can use | area available with two displays
Screen content | can use | area available
Screen content | can use | increased area available with two displays
increased area | available with | two displays
area | available with | two displays
Screen content | can use | increased area
Screen content | can use | area
Screen content | can use | increased area available
Screen list | is with | special Tall Screen
Certain windows | can | can shown
Certain windows | can | can only shown on one display at time
windows | can | can only shown
Certain windows | can | can shown on one display
windows | can | can shown on one display at time
Certain windows | can | can shown on one display at time
Certain windows | can | can shown at time
windows | can | can shown on one display
Certain windows | can | can only shown
Certain windows | can | can only shown at time
windows | can | can only shown on one display
Certain windows | can | can only shown on one display
windows | can | can shown at time
windows | can | can only shown at time
windows | can | can only shown on one display at time
windows | can | can shown
it | is | when shown
you | will see | grey window
you | will see | blank window with cross
blank grey window | is with | cross
you | will see | window with cross
you | will see | grey window with cross
you | will see | blank window
you | will see | blank grey window
it | is | shown
it | is | when already shown
you | will see | window
it | is | already shown
you | will see | blank grey window with cross
you | will see window through | it
Screen | is | configured
patient | is with | active alarms
you | visitor | configured for your monitor
Screen | is configured for | your monitor
you | visitor | configured
Screen | is in | Configuration Mode
You | can change | name
You | can change | name of visitor
♦ | select | Screen name in monitor info line
Screen name | is in | monitor info line
Screen name | select | name
Screen name | select | name of visitor
♦ | select | Screen name
Screen name | open | Screen menu
you | change | configuration of monitor
you | change | configuration of whole monitor
you | can adapt | it
you | change | configuration
you | configuration of | monitor
you | configuration of | whole monitor
you | far reaching than | those
you | more far reaching than | those made
complete profile | more far reaching than | those
you | far reaching than | those made
profile | more far reaching than | those made
complete profile | reaching than | those
profile | reaching than | those made
profile | reaching than | those
complete profile | reaching than | those made
profile | far reaching than | those
you | change | profile
you | reaching than | those
complete profile | more far reaching than | those made
profile | more far reaching than | those
profile | far reaching than | those made
you | more far reaching than | those
you | change | complete profile
complete profile | far reaching than | those made
you | reaching than | those made
complete profile | far reaching than | those
you | change | Screen
category | offers | choice
category | offers | choice of settings blocks '
profile | choice of | many different predefined screens
profile | choice of | different predefined screens
display | can have | its screen selection
you | are using | second display
display | can have | its own screen selection
display | can have | its own individual screen selection
you | are using | display
display | can have | its individual screen selection
screen selection | becomes | active
you | change | profile
screen selection | configured for | profile
screen selection | configured for | new profile
Each profile | choice of | predefined measurement settings
profile | choice of | measurement settings
Each profile | choice of | different measurement settings
profile | choice of | different predefined measurement settings
Each profile | choice of | different predefined measurement settings
profile | choice of | different measurement settings
Each profile | choice of | measurement settings
profile | choice of | predefined measurement settings
These | relate directly for | example
These | relate to | individual measurements
These | relate for | temperature unit pressure unit
These | relate for | example
These | relate directly to | individual measurements
These | relate to | measurements
These | relate directly for | temperature unit pressure unit
These | relate directly to | measurements
profile | choice of | different predefined monitor settings
profile | can have | choice of predefined monitor settings
profile | can have | choice of monitor settings
Each profile | can have | choice of monitor settings
Each profile | can have | choice of predefined monitor settings
Each profile | can have | choice of different predefined monitor settings
profile | can have | choice of different predefined monitor settings
profile | can have | choice of different monitor settings
profile | can have | choice
Each profile | choice of | monitor settings
Each profile | can have | choice of different monitor settings
Each profile | choice of | predefined monitor settings
Each profile | can have | choice
profile | choice of | predefined monitor settings
Each profile | choice of | different monitor settings
profile | choice of | monitor settings
profile | choice of | different monitor settings
Each profile | choice of | different predefined monitor settings
These | relate as | whole
These | relate for | example
These | relate for | alarms
you | save | them
it | think of | three categories in terms
You | might find | it helpful
three categories | is in | terms of restaurant menu
it | helpful | think of three categories in terms
it | think of | three categories in terms of restaurant menu
it | helpful | think of three categories in terms of restaurant menu
it | helpful | think of three categories
it | think of | three categories
it | helpful | think
Screens | are like | first course
Screens | are like | course
you | can pick | one
course | offering | choice
Monitor Settings category | is like | course
Monitor Settings category | is like | main course
main course | offering | choice
Measurement Settings | are like | dessert course
you | switch to | profile
patient category | change | paced status
patient category | normally change | paced status
you | switch to | different profile
profiles | may | may setup
profiles | may | However may setup
profiles | leave | patient category
monitor | uses | default profile
you | leave | Demonstration Mode
Complete Profile 1 Select Profiles | is in | monitor info line
Profiles Measurement B Measurement C Measurement D Profiles Menu | showing | current settings
Settings Block 1 Select Profiles | is in | monitor info line
Profiles Measurement B Measurement C Measurement D Profiles Menu | showing | settings
Available choices | is in | measurement menu Profile
you | leave | Demonstration
you | discharge | patient
it | uses | that
These | are | indicated
Screen Settings | display | brightness
Screen Settings | define | settings
Screen Settings settings | define | selection of elements on individual Screen Measurement settings
Screen Settings settings | define | selection
Screen Settings | define | selection of elements on individual Screen Measurement settings
settings | unique to | measurement
Screen Settings | define | selection
Screen Settings | define | settings unique to measurement
changes | be | done
permanent changes | only be done in | monitor 's Configuration Mode
changes | be done in | monitor 's Configuration Mode
You | must | must aware
settings | can | can changed in Monitoring Mode
changes | be | only done
permanent changes | be | only done
permanent changes | be | done
settings | can | can changed
changes | only be done in | monitor 's Configuration Mode
permanent changes | be done in | monitor 's Configuration Mode
many settings | can | can changed in Monitoring Mode
many settings | can | can changed
monitor | in | Configuration Mode
Default | is | set
Default | is set to | Yes
you | can adjust | all its settings
you | can adjust | all of its settings
you | can adjust | all of settings
you | can adjust | all settings
You | can enter | setup menu
you | setup | measurement
you | can access | setup menu
you | can access setup menu in | monitor
On | removed | Off
monitor | from | screen
On | are removed from | monitor 's screen
On | are | removed
monitor | stops | data acquisition
you | disconnect | its module
monitor | replaces | measurement numeric with question marks
monitor | replaces | measurement
you | disconnect | transducer
measurement | numeric with | question marks
monitor | replaces | measurement numeric
1 | Enter | measurement 's setup menu
1 | select | measurement
measurement | has | setup menu
screen display | indicates | setting
screen display | indicates | active setting
you | Switching Numerics For | For measurements
you | Switching | Numerics
♦ | is In | measurement 's setup menu
♦ | select | name
measurement | In | setup menu
